"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"26";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1355457";"—"
"2";"13";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1643367";"—"
"3";"6";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1702133";"—"
"4";"28";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1846843";"—"
"5";"8";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1624808";"—"
"6";"7";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1963316";"—"
"7";"27";"—";"1000";"x x x";"3000";"Участвует в конкурсе";"1961801";"—"
"8";"7";"Электронное";"1000";"x x x";"3000";"Участвует в конкурсе";"1980402";"—"
"9";"27";"—";"1000";"x x x";"3000";"Участвует в конкурсе";"2231197";"—"
"10";"9";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1417367";"—"
"11";"6";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1542584";"—"
"12";"1";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1331580";"—"
"13";"21";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1975707";"—"
"14";"14";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"2133320";"—"
"15";"14";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1642778";"—"
"16";"11";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1480127";"—"
"17";"8";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1476167";"—"
"18";"12";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2235006";"—"
"19";"10";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1166793";"—"
"20";"25";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2092683";"—"
"21";"9";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1205117";"—"
"23";"14";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1355737";"—"
"24";"16";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1356884";"—"
"26";"24";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"2364364";"—"
"27";"19";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1836480";"—"
"55";"13";"—";"294000";"95 100 89";"10000";"Участвует в конкурсе";"1908016";"—"
"56";"14";"—";"289000";"98 95 86";"10000";"Участвует в конкурсе";"1291171";"—"
"57";"5";"Электронное";"289000";"98 90 91";"10000";"Участвует в конкурсе";"1424910";"—"
"58";"14";"—";"289000";"95 84 100";"10000";"Участвует в конкурсе";"1582041";"—"
"59";"8";"—";"287000";"94 94 89";"10000";"Участвует в конкурсе";"2043412";"—"
"61";"6";"—";"284000";"98 82 94";"10000";"Участвует в конкурсе";"1413135";"—"
"62";"16";"—";"284000";"93 90 91";"10000";"Участвует в конкурсе";"1779294";"—"
"63";"14";"Электронное";"283000";"100 90 83";"10000";"Участвует в конкурсе";"2138900";"—"
"64";"22";"—";"281000";"96 94 81";"10000";"Участвует в конкурсе";"1637333";"—"
"65";"15";"—";"281000";"90 90 91";"10000";"Участвует в конкурсе";"1438369";"—"
"66";"5";"—";"280000";"94 95 91";"—";"Участвует в конкурсе";"1907930";"—"
"68";"5";"—";"279000";"98 92 86";"3000";"Участвует в конкурсе";"2338542";"—"
"70";"16";"—";"278000";"95 86 94";"3000";"Участвует в конкурсе";"1290581";"—"
"71";"21";"—";"277000";"95 99 83";"—";"Участвует в конкурсе";"1292749";"—"
"72";"9";"—";"277000";"98 88 81";"10000";"Участвует в конкурсе";"977071";"—"
"73";"7";"—";"277000";"94 90 83";"10000";"Участвует в конкурсе";"1645368";"—"
"74";"19";"Электронное";"276000";"93 84 89";"10000";"Участвует в конкурсе";"2260583";"—"
"75";"11";"—";"273000";"88 94 91";"—";"Участвует в конкурсе";"1518237";"—"
"76";"8";"—";"273000";"90 95 86";"2000";"Участвует в конкурсе";"1195315";"—"
"78";"25";"—";"273000";"90 92 81";"10000";"Участвует в конкурсе";"1512114";"—"
