"Порядковый номер";"Приоритет конкурса";"Подано согласие";"Сумма баллов";"Баллы за ВИ";"Баллы за ИД";"Статус";"Код поступающего";"Дата выбора конкурсной группы по Москве"
"1";"8";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1355457";"—"
"2";"10";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"1826994";"—"
"3";"15";"Электронное";"1000";"x x x";"10000";"Участвует в конкурсе";"1891692";"—"
"4";"14";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1846843";"—"
"5";"3";"—";"1000";"x x x";"10000";"Участвует в конкурсе";"1792492";"—"
"6";"5";"—";"1000";"x x x";"5000";"Участвует в конкурсе";"1928698";"—"
"7";"14";"Электронное";"1000";"x x x";"5000";"Участвует в конкурсе";"2219629";"—"
"8";"24";"—";"1000";"x x x";"3000";"Участвует в конкурсе";"1961801";"—"
"9";"25";"—";"1000";"x x x";"3000";"Участвует в конкурсе";"2231197";"—"
"10";"14";"Электронное";"1000";"x x x";"2000";"Участвует в конкурсе";"1130423";"—"
"11";"8";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1087683";"—"
"12";"12";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1641302";"—"
"13";"14";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1542584";"—"
"14";"2";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1645058";"—"
"15";"24";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1975707";"—"
"16";"9";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"2133320";"—"
"17";"17";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1151776";"—"
"18";"4";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1642778";"—"
"19";"9";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2385498";"—"
"20";"18";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2235006";"—"
"21";"19";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1166793";"—"
"22";"19";"—";"1000";"x x x";"—";"Участвует в конкурсе";"2092683";"—"
"24";"16";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1355737";"—"
"25";"2";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1264427";"—"
"26";"22";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"1356884";"—"
"27";"9";"Электронное";"1000";"x x x";"—";"Участвует в конкурсе";"2364364";"—"
"28";"22";"—";"1000";"x x x";"—";"Участвует в конкурсе";"1836480";"—"
"58";"19";"—";"291000";"93 94 94";"10000";"Участвует в конкурсе";"1916223";"—"
"59";"3";"—";"291000";"93 88 100";"10000";"Участвует в конкурсе";"1584673";"—"
"60";"18";"—";"289000";"98 95 86";"10000";"Участвует в конкурсе";"1291171";"—"
"61";"14";"Электронное";"289000";"98 90 91";"10000";"Участвует в конкурсе";"1424910";"—"
"62";"8";"—";"289000";"95 84 100";"10000";"Участвует в конкурсе";"1582041";"—"
"63";"11";"—";"287000";"90 90 97";"10000";"Участвует в конкурсе";"1615432";"—"
"64";"12";"—";"287000";"88 92 97";"10000";"Участвует в конкурсе";"1473705";"—"
"68";"22";"—";"282000";"95 96 81";"10000";"Участвует в конкурсе";"1784131";"—"
"69";"5";"—";"282000";"90 82 100";"10000";"Участвует в конкурсе";"2266228";"—"
"70";"3";"—";"281000";"90 90 91";"10000";"Участвует в конкурсе";"1122414";"—"
"72";"9";"—";"278000";"95 86 94";"3000";"Участвует в конкурсе";"1290581";"—"
"73";"3";"—";"278000";"88 94 86";"10000";"Участвует в конкурсе";"1233605";"—"
"74";"25";"—";"277000";"95 99 83";"—";"Участвует в конкурсе";"1292749";"—"
"75";"18";"—";"277000";"90 86 91";"10000";"Участвует в конкурсе";"1419084";"—"
"76";"18";"Электронное";"276000";"93 84 89";"10000";"Участвует в конкурсе";"2260583";"—"
"77";"15";"—";"274000";"93 92 86";"3000";"Участвует в конкурсе";"2338542";"—"
"78";"7";"Электронное";"274000";"80 90 94";"10000";"Участвует в конкурсе";"2180549";"—"
"79";"6";"—";"273000";"90 95 86";"2000";"Участвует в конкурсе";"1195315";"—"
"80";"23";"—";"273000";"90 92 81";"10000";"Участвует в конкурсе";"1512114";"—"
"81";"13";"Электронное";"273000";"90 84 89";"10000";"Участвует в конкурсе";"1343659";"—"
"82";"17";"—";"271000";"85 95 91";"—";"Участвует в конкурсе";"1907930";"—"
"83";"19";"—";"271000";"98 94 73";"6000";"Участвует в конкурсе";"973960";"—"
"84";"28";"—";"270000";"95 86 89";"—";"Участвует в конкурсе";"1854964";"—"
"85";"21";"—";"270000";"95 90 75";"10000";"Участвует в конкурсе";"2255720";"—"
"86";"11";"Электронное";"269000";"83 90 86";"10000";"Участвует в конкурсе";"1573289";"—"
"87";"13";"—";"266000";"93 92 81";"—";"Участвует в конкурсе";"2249367";"—"
